Latency Constraint 18
0 11 2
1 11 2
2 1 0
3 14 0
4 15 0
5 16 5
6 8 2
7 1 2
8 2 0
9 4 0
10 11 0
11 12 5
12 6 2
13 1 2
14 3 0
15 4 0
16 9 0
17 10 5
18 13 3
19 14 2
20 17 0
21 14 2
22 13 2
23 14 0
24 16 0
25 17 0
26 18 6
27 12 2
28 10 2
29 5 0
30 13 0
31 15 0
32 16 5
33 4 2
34 7 2
35 8 0
36 10 0
37 11 0
38 12 5
39 8 2
40 5 2
41 7 0
42 9 0
43 11 0
44 12 5
45 13 3
46 14 2
47 17 0
48 14 2
49 13 2
50 10 0
51 16 0
52 17 0
53 18 6
54 4 2
55 10 2
56 6 0
57 13 0
58 14 0
59 15 5
60 4 2
61 4 2
62 1 0
63 7 0
64 8 0
65 9 5
66 1 2
67 4 2
68 3 0
69 7 0
70 8 0
71 9 5
72 10 3
73 11 2
74 16 0
75 14 2
76 11 2
77 12 0
78 15 0
79 17 0
80 18 6
81 7 2
82 5 2
83 1 0
84 9 0
85 10 0
86 11 5
87 1 2
88 1 2
89 2 0
90 5 0
91 6 0
92 7 5
93 2 2
94 1 2
95 2 0
96 4 0
97 5 0
98 6 5
99 8 3
100 9 2
101 12 0
102 7 2
103 9 2
104 6 0
105 12 0
106 13 0
107 14 6
Latency Constraint 48
0 41 2
1 41 2
2 3 0
3 44 0
4 45 0
5 46 5
6 38 2
7 1 2
8 1 0
9 4 0
10 41 0
11 42 5
12 11 2
13 7 2
14 15 0
15 18 0
16 26 0
17 27 5
18 43 3
19 44 2
20 47 0
21 29 2
22 34 2
23 24 0
24 37 0
25 46 0
26 48 6
27 38 2
28 23 2
29 42 0
30 43 0
31 44 0
32 45 5
33 14 2
34 25 2
35 27 0
36 28 0
37 29 0
38 30 5
39 16 2
40 20 2
41 10 0
42 23 0
43 25 0
44 26 5
45 43 3
46 44 2
47 47 0
48 37 2
49 31 2
50 5 0
51 34 0
52 40 0
53 48 6
54 13 2
55 1 2
56 7 0
57 13 0
58 16 0
59 20 5
60 7 2
61 10 2
62 1 0
63 17 0
64 21 0
65 22 5
66 17 2
67 10 2
68 6 0
69 14 0
70 20 0
71 21 5
72 39 3
73 40 2
74 43 0
75 33 2
76 28 2
77 8 0
78 31 0
79 36 0
80 44 6
81 1 2
82 4 2
83 2 0
84 19 0
85 33 0
86 43 5
87 32 2
88 19 2
89 9 0
90 30 0
91 35 0
92 38 5
93 22 2
94 4 2
95 11 0
96 22 0
97 32 0
98 33 5
99 42 3
100 43 2
101 46 0
102 26 2
103 35 2
104 12 0
105 38 0
106 39 0
107 47 6
Latency Constraint 96
0 45 2
1 86 2
2 20 0
3 89 0
4 90 0
5 91 5
6 27 2
7 1 2
8 1 0
9 4 0
10 30 0
11 33 5
12 83 2
13 48 2
14 87 0
15 88 0
16 89 0
17 90 5
18 91 3
19 92 2
20 95 0
21 42 2
22 89 2
23 91 0
24 92 0
25 93 0
26 96 6
27 6 2
28 5 2
29 6 0
30 8 0
31 9 0
32 10 5
33 2 2
34 1 2
35 2 0
36 4 0
37 5 0
38 6 5
39 2 2
40 1 2
41 3 0
42 4 0
43 5 0
44 6 5
45 7 3
46 8 2
47 11 0
48 63 2
49 33 2
50 10 0
51 36 0
52 76 0
53 79 6
54 19 2
55 18 2
56 13 0
57 21 0
58 22 0
59 23 5
60 15 2
61 12 2
62 15 0
63 16 0
64 18 0
65 19 5
66 15 2
67 9 2
68 16 0
69 17 0
70 18 0
71 19 5
72 20 3
73 21 2
74 24 0
75 69 2
76 30 2
77 7 0
78 41 0
79 74 0
80 75 6
81 57 2
82 39 2
83 14 0
84 42 0
85 73 0
86 74 5
87 54 2
88 51 2
89 17 0
90 56 0
91 57 0
92 58 5
93 66 2
94 24 2
95 19 0
96 39 0
97 69 0
98 70 5
99 71 3
100 72 2
101 75 0
102 60 2
103 36 2
104 12 0
105 77 0
106 81 0
107 93 6
