Latency Constraint 30
0 28 2
1 12 2
2 1 2
3 1 0
4 2 5
5 4 0
6 15 0
7 16 5
8 12 2
9 1 2
10 2 0
11 3 5
12 4 0
13 15 0
14 16 5
15 17 6
16 18 2
17 12 2
18 9 2
19 3 0
20 4 5
21 12 0
22 15 0
23 16 5
24 12 2
25 9 2
26 9 0
27 10 5
28 12 0
29 15 0
30 16 5
31 17 6
32 18 2
33 16 0
34 17 5
35 21 2
36 17 0
37 18 5
38 21 2
39 24 6
40 25 2
41 28 2
42 20 0
43 21 5
44 22 2
45 21 0
46 22 5
47 23 2
48 26 6
49 27 2
50 9 2
51 5 2
52 7 0
53 10 5
54 11 0
55 12 0
56 13 5
57 6 2
58 5 2
59 6 0
60 7 5
61 8 0
62 9 0
63 11 5
64 14 6
65 15 2
66 8 2
67 4 2
68 3 0
69 5 5
70 8 0
71 12 0
72 13 5
73 7 2
74 6 2
75 7 0
76 8 5
77 9 0
78 10 0
79 11 5
80 14 6
81 15 2
82 18 0
83 19 5
84 20 2
85 19 0
86 20 5
87 21 2
88 24 6
89 25 2
90 28 2
91 18 0
92 23 5
93 24 2
94 22 0
95 23 5
96 24 2
97 27 6
98 28 2
99 4 2
100 7 2
101 6 0
102 9 5
103 10 0
104 11 0
105 12 5
106 4 2
107 4 2
108 3 0
109 5 5
110 10 0
111 11 0
112 12 5
113 13 6
114 14 2
115 5 2
116 10 2
117 8 0
118 9 5
119 13 0
120 14 0
121 15 5
122 12 2
123 11 2
124 7 0
125 8 5
126 14 0
127 15 0
128 16 5
129 17 6
130 18 2
131 16 0
132 17 5
133 18 2
134 17 0
135 18 5
136 21 2
137 24 6
138 25 2
139 28 2
140 20 0
141 21 5
142 22 2
143 14 0
144 15 5
145 17 2
146 25 6
147 26 2
148 2 2
149 1 2
150 1 0
151 2 5
152 4 0
153 5 0
154 6 5
155 2 2
156 1 2
157 2 0
158 3 5
159 4 0
160 5 0
161 6 5
162 7 6
163 8 2
164 1 2
165 1 2
166 1 0
167 2 5
168 4 0
169 5 0
170 6 5
171 2 2
172 1 2
173 2 0
174 3 5
175 4 0
176 5 0
177 6 5
178 7 6
179 8 2
180 1 0
181 4 5
182 11 2
183 6 0
184 7 5
185 11 2
186 14 6
187 15 2
188 18 2
189 13 0
190 14 5
191 15 2
192 13 0
193 14 5
194 15 2
195 18 6
196 19 2
Latency Constraint 30
0 28 2
1 12 2
2 1 2
3 1 0
4 2 5
5 4 0
6 15 0
7 16 5
8 12 2
9 1 2
10 2 0
11 3 5
12 4 0
13 15 0
14 16 5
15 17 6
16 18 2
17 12 2
18 9 2
19 3 0
20 4 5
21 12 0
22 15 0
23 16 5
24 12 2
25 9 2
26 9 0
27 10 5
28 12 0
29 15 0
30 16 5
31 17 6
32 18 2
33 16 0
34 17 5
35 21 2
36 17 0
37 18 5
38 21 2
39 24 6
40 25 2
41 28 2
42 20 0
43 21 5
44 22 2
45 21 0
46 22 5
47 23 2
48 26 6
49 27 2
50 9 2
51 5 2
52 7 0
53 10 5
54 11 0
55 12 0
56 13 5
57 6 2
58 5 2
59 6 0
60 7 5
61 8 0
62 9 0
63 11 5
64 14 6
65 15 2
66 8 2
67 4 2
68 3 0
69 5 5
70 8 0
71 12 0
72 13 5
73 7 2
74 6 2
75 7 0
76 8 5
77 9 0
78 10 0
79 11 5
80 14 6
81 15 2
82 18 0
83 19 5
84 20 2
85 19 0
86 20 5
87 21 2
88 24 6
89 25 2
90 28 2
91 18 0
92 23 5
93 24 2
94 22 0
95 23 5
96 24 2
97 27 6
98 28 2
99 4 2
100 7 2
101 6 0
102 9 5
103 10 0
104 11 0
105 12 5
106 4 2
107 4 2
108 3 0
109 5 5
110 10 0
111 11 0
112 12 5
113 13 6
114 14 2
115 5 2
116 10 2
117 8 0
118 9 5
119 13 0
120 14 0
121 15 5
122 12 2
123 11 2
124 7 0
125 8 5
126 14 0
127 15 0
128 16 5
129 17 6
130 18 2
131 16 0
132 17 5
133 18 2
134 17 0
135 18 5
136 21 2
137 24 6
138 25 2
139 28 2
140 20 0
141 21 5
142 22 2
143 14 0
144 15 5
145 17 2
146 25 6
147 26 2
148 2 2
149 1 2
150 1 0
151 2 5
152 4 0
153 5 0
154 6 5
155 2 2
156 1 2
157 2 0
158 3 5
159 4 0
160 5 0
161 6 5
162 7 6
163 8 2
164 1 2
165 1 2
166 1 0
167 2 5
168 4 0
169 5 0
170 6 5
171 2 2
172 1 2
173 2 0
174 3 5
175 4 0
176 5 0
177 6 5
178 7 6
179 8 2
180 1 0
181 4 5
182 11 2
183 6 0
184 7 5
185 11 2
186 14 6
187 15 2
188 18 2
189 13 0
190 14 5
191 15 2
192 13 0
193 14 5
194 15 2
195 18 6
196 19 2
