Latency Constraint 15
0 1 2
1 4 0
2 7 0
3 8 5
4 4 0
5 5 5
6 9 2
7 12 0
8 7 0
9 8 6
10 6 0
11 7 6
12 13 1
13 13 0
14 14 6
15 13 3
16 14 1
17 14 0
18 15 6
19 13 3
20 14 1
21 14 0
22 15 6
23 13 3
24 14 1
25 13 0
26 15 6
27 5 1
28 5 0
29 6 6
30 5 3
31 6 1
32 10 0
33 12 6
34 11 3
35 12 1
36 11 0
37 13 6
38 9 3
39 10 1
40 9 0
41 11 6
42 1 0
43 2 6
44 10 0
45 12 6
46 1 0
47 2 5
48 3 1
49 3 0
50 4 6
51 11 0
52 12 5
53 13 7
54 14 1
55 14 0
56 15 6
57 6 0
58 7 5
59 8 7
60 9 1
61 9 0
62 10 6
63 8 0
64 9 5
65 10 7
66 11 1
67 11 0
68 13 6
69 12 0
70 13 5
71 14 1
72 12 0
73 15 6
74 10 0
75 11 5
76 12 7
77 13 1
78 13 0
79 14 6
80 5 0
81 6 5
82 7 7
83 8 1
84 8 0
85 9 6
86 1 0
87 2 5
88 3 7
89 4 1
90 3 0
91 5 6
92 9 0
93 11 6
94 3 0
95 10 6
96 1 1
97 2 0
98 9 6
99 1 3
100 2 1
101 2 0
102 3 6
103 2 0
104 4 5
105 5 8
