Latency Constraint 16
0 2 5 2
1 1 4 0
2 2 3 2
3 4 5 0
4 5 6 0
5 8 9 10
6 12 13 0
7 8 11 2
8 7 10 1
9 6 7 2
10 10 11 1
11 11 12 0
12 12 13 4
13 13 16 0
14 10 13 1
15 13 14 6
16 16 17 0
17 7 10 11
18 1 4 4
19 3 4 8
20 4 5 4
21 10 11 4
22 11 12 11
23 13 16 1
24 10 13 2
25 14 15 9
26 16 17 1
27 5 8 11
28 1 4 12
29 3 4 9
30 5 6 1
31 8 9 0
32 9 10 7
33 13 16 2
34 11 14 5
35 15 16 5
36 16 17 2
37 5 8 7
38 4 7 10
39 7 8 5
40 8 9 5
41 9 10 5
42 10 11 8
43 4 7 6
44 9 10 6
45 15 16 4
46 1 2 0
47 2 3 1
48 4 5 3
49 1 2 3
50 2 3 5
51 4 5 1
52 5 6 3
