Latency Constraint 18
0 12 15 3
1 11 14 1
2 12 13 2
3 14 15 1
4 15 16 1
5 16 17 0
6 1 4 2
7 1 4 0
8 2 3 7
9 4 5 0
10 5 6 0
11 6 7 0
12 1 4 3
13 1 4 1
14 3 4 12
15 4 5 1
16 5 6 1
17 6 7 1
18 7 8 0
19 10 13 24
20 17 18 0
21 14 17 1
22 13 16 2
23 13 14 9
24 16 17 2
25 17 18 1
26 18 19 0
27 11 14 10
28 10 13 3
29 12 13 7
30 13 14 7
31 14 15 7
32 15 16 8
33 7 10 1
34 7 10 3
35 2 3 5
36 10 11 3
37 11 12 3
38 12 13 1
39 4 7 7
40 4 7 2
41 1 2 6
42 7 8 21
43 9 10 7
44 10 11 11
45 13 14 4
46 14 17 4
47 17 18 4
48 14 17 3
49 13 16 3
50 15 16 7
51 16 17 5
52 17 18 3
53 18 19 1
54 8 11 6
55 5 8 15
56 6 7 8
57 10 11 4
58 11 12 4
59 13 14 11
60 4 7 19
61 1 4 14
62 3 4 4
63 4 5 4
64 7 8 4
65 9 10 7
66 4 7 21
67 1 4 20
68 1 2 9
69 4 5 12
70 7 8 1
71 8 9 14
72 10 11 20
73 11 14 15
74 14 15 7
75 10 13 6
76 9 12 5
77 7 8 12
78 12 13 12
79 13 14 12
80 15 16 10
81 4 7 13
82 5 8 25
83 1 2 17
84 8 9 3
85 9 10 22
86 14 15 11
87 7 10 24
88 6 9 22
89 2 3 10
90 9 10 22
91 10 11 7
92 11 12 19
93 3 6 13
94 1 4 16
95 3 4 11
96 5 6 11
97 6 7 3
98 7 8 23
99 12 13 0
100 14 17 16
101 17 18 6
102 8 11 14
103 7 10 18
104 6 7 16
105 11 12 18
106 15 16 13
107 18 19 2
