Latency Constraint 30
0 28 31 2
1 12 15 1
2 11 14 9
3 6 7 18
4 9 10 1
5 14 15 0
6 15 16 0
7 16 17 0
8 12 15 5
9 9 12 8
10 8 9 19
11 11 12 19
12 12 13 17
13 15 16 1
14 16 17 1
15 17 18 0
16 18 21 0
17 9 12 17
18 5 8 5
19 2 3 4
20 4 5 20
21 10 11 5
22 12 13 17
23 13 14 11
24 7 10 27
25 5 8 22
26 3 4 9
27 8 9 28
28 11 12 28
29 12 13 0
30 13 14 7
31 15 16 11
32 16 19 17
33 16 17 5
34 20 21 32
35 21 24 1
36 16 17 9
37 17 18 12
38 19 22 33
39 24 25 1
40 25 28 0
41 28 31 0
42 17 18 1
43 18 19 1
44 19 22 10
45 19 20 7
46 20 21 7
47 23 26 7
48 26 27 9
49 27 30 10
50 1 4 11
51 1 4 0
52 1 2 1
53 2 3 27
54 4 5 0
55 5 6 0
56 6 7 0
57 1 4 28
58 1 4 2
59 2 3 9
60 3 4 5
61 4 5 1
62 5 6 1
63 6 7 2
64 7 8 0
65 8 11 3
66 1 4 16
67 1 4 3
68 1 2 2
69 2 3 10
70 4 5 3
71 5 6 2
72 6 7 3
73 2 5 8
74 1 4 1
75 1 2 3
76 2 3 12
77 4 5 2
78 5 6 3
79 6 7 1
80 7 8 2
81 8 11 4
82 6 7 4
83 8 9 32
84 11 14 0
85 7 8 8
86 9 10 9
87 11 14 2
88 14 15 2
89 15 18 2
90 25 28 4
91 20 21 6
92 21 22 20
93 22 25 4
94 7 8 21
95 8 9 21
96 14 17 3
97 25 26 3
98 26 29 6
99 7 10 13
100 8 11 11
101 11 12 0
102 12 13 28
103 13 14 15
104 14 15 6
105 15 16 7
106 10 13 22
107 4 7 29
108 3 4 8
109 4 5 10
110 12 13 5
111 14 15 9
112 15 16 6
113 16 17 3
114 17 20 14
115 7 10 16
116 4 7 6
117 3 4 6
118 5 6 26
119 7 8 15
120 10 11 7
121 11 12 34
122 4 7 36
123 4 7 12
124 2 3 8
125 3 4 31
126 10 11 16
127 11 12 7
128 12 13 7
129 13 14 18
130 14 17 18
131 17 18 6
132 19 20 11
133 20 23 7
134 10 11 24
135 14 15 24
136 17 20 34
137 23 24 11
138 25 28 22
139 28 31 1
140 18 19 1
141 22 23 6
142 23 26 6
143 18 19 8
144 19 20 8
145 22 25 8
146 26 27 18
147 28 31 7
148 8 11 2
149 5 8 1
150 6 7 7
151 7 8 23
152 9 10 1
153 13 14 8
154 14 15 14
155 12 15 8
156 10 13 16
157 1 2 7
158 5 6 14
159 13 14 19
160 15 16 8
161 16 17 10
162 17 18 2
163 18 21 22
164 6 9 7
165 4 7 16
166 6 7 32
167 7 8 7
168 8 9 3
169 9 10 7
170 10 11 33
171 3 6 37
172 1 4 13
173 3 4 15
174 4 5 15
175 7 8 35
176 8 9 17
177 10 11 38
178 11 12 12
179 14 17 13
180 9 10 25
181 10 11 23
182 21 24 17
183 8 9 30
184 17 18 21
185 18 21 16
186 24 25 5
187 25 28 8
188 28 31 3
189 20 21 9
190 21 22 3
191 22 25 3
192 21 22 5
193 23 24 23
194 24 27 7
195 27 28 2
196 28 31 8
