Latency Constraint 15
0 1 4 2
1 4 5 2
2 2 3 8
3 4 5 24
4 1 2 11
5 2 3 20
6 7 10 23
7 10 11 2
8 1 2 4
9 2 3 5
10 4 5 2
11 5 6 14
12 11 12 32
13 8 9 6
14 12 13 10
15 12 13 30
16 13 14 30
17 13 14 2
18 14 15 25
19 11 12 30
20 12 13 19
21 12 13 3
22 13 14 3
23 13 14 21
24 14 15 21
25 14 15 4
26 15 16 2
27 5 6 7
28 5 6 10
29 6 7 7
30 5 6 2
31 6 7 8
32 7 8 11
33 8 9 8
34 6 7 4
35 7 8 33
36 9 10 9
37 10 11 9
38 7 8 19
39 8 9 27
40 6 7 12
41 9 10 12
42 5 6 4
43 6 7 16
44 4 5 19
45 7 8 17
46 1 2 2
47 2 3 13
48 4 5 25
49 11 12 24
50 12 13 24
51 7 8 22
52 8 9 4
53 10 11 28
54 11 12 29
55 10 11 13
56 13 14 11
57 8 9 3
58 11 12 3
59 12 13 31
60 14 15 19
61 11 12 15
62 15 16 6
63 5 6 13
64 7 8 23
65 9 10 13
66 10 11 2
67 9 10 19
68 11 12 19
69 11 12 19
70 12 13 19
71 13 14 28
72 13 14 19
73 14 15 28
74 1 2 9
75 5 6 23
76 7 8 15
77 9 10 31
78 10 11 21
79 12 13 21
80 8 9 26
81 9 10 24
82 11 12 28
83 12 13 26
84 12 13 22
85 13 14 22
86 2 3 6
87 3 4 3
88 4 5 28
89 7 8 2
90 9 10 21
91 10 11 23
92 6 7 3
93 8 9 18
94 3 4 21
95 9 10 20
96 1 2 0
97 2 3 4
98 3 4 1
99 1 2 1
100 2 3 19
101 3 4 4
102 4 5 0
103 3 4 15
104 6 7 7
105 8 16 4
