Latency Constraint 28
0 17 25 0
1 16 19 13
2 21 22 21
3 22 23 26
4 25 28 0
5 28 29 0
6 15 18 15
7 18 19 34
8 21 22 27
9 25 28 1
10 28 29 1
11 16 19 6
12 21 22 19
13 23 24 41
14 25 28 2
15 28 29 2
16 13 16 17
17 20 21 18
18 21 22 25
19 25 28 3
20 28 29 3
21 8 11 45
22 12 13 2
23 13 14 47
24 16 19 1
25 1 4 13
26 6 7 46
27 7 8 46
28 13 16 3
29 19 20 25
30 10 13 47
31 13 14 7
32 14 15 4
33 15 18 45
34 21 22 7
35 22 23 48
36 25 28 4
37 22 25 8
38 25 26 24
39 28 29 4
40 10 13 13
41 13 14 17
42 14 15 13
43 16 19 23
44 4 7 38
45 11 12 20
46 12 13 31
47 13 16 39
48 20 21 1
49 16 19 8
50 19 20 2
51 20 21 11
52 21 24 2
53 24 25 11
54 25 28 5
55 22 25 1
56 25 26 39
57 28 29 5
58 12 15 12
59 15 16 6
60 16 17 21
61 17 20 7
62 12 15 2
63 15 16 20
64 16 17 22
65 17 20 8
66 20 21 8
67 12 15 21
68 16 17 12
69 17 18 11
70 18 21 2
71 21 22 16
72 23 24 42
73 25 28 6
74 22 25 2
75 26 27 30
76 28 29 6
77 13 16 0
78 16 17 0
79 17 18 37
80 19 22 23
81 14 17 20
82 17 18 6
83 18 19 32
84 19 22 30
85 22 23 22
86 16 19 10
87 19 20 4
88 20 21 12
89 21 24 4
90 24 25 7
91 25 28 7
92 22 25 9
93 25 26 28
94 28 29 7
95 2 5 11
96 5 6 10
97 6 7 13
98 1 4 17
99 5 6 15
100 6 7 0
101 7 10 8
102 1 4 33
103 5 6 16
104 6 7 15
105 1 4 44
106 5 6 11
107 6 7 16
108 7 10 1
109 10 11 14
110 1 4 0
111 4 5 1
112 5 6 1
113 1 4 1
114 4 5 2
115 5 6 2
116 6 9 1
117 1 4 2
118 4 5 3
119 5 6 3
120 1 4 3
121 4 5 4
122 5 6 4
123 6 9 2
124 9 10 5
125 1 4 4
126 4 5 5
127 5 6 5
128 1 4 5
129 4 5 6
130 5 6 6
131 6 9 3
132 1 4 6
133 4 5 7
134 5 6 7
135 1 4 7
136 4 5 8
137 5 6 8
138 6 9 4
139 9 10 9
140 8 11 6
141 11 12 4
142 12 13 11
143 5 8 18
144 10 11 21
145 11 12 15
146 13 16 15
147 4 7 12
148 9 10 6
149 10 11 12
150 4 7 19
151 7 8 19
152 8 9 17
153 11 14 41
154 16 17 41
155 8 11 1
156 11 12 39
157 12 13 38
158 3 6 0
159 6 7 20
160 7 8 27
161 13 16 16
162 4 7 17
163 7 8 17
164 8 9 11
165 1 4 31
166 6 7 22
167 7 8 32
168 9 12 32
169 17 18 44
170 7 10 20
171 10 11 43
172 14 15 10
173 5 8 21
174 8 9 31
175 11 12 34
176 15 18 4
177 9 12 2
178 12 13 42
179 13 14 29
180 4 7 23
181 9 10 21
182 10 11 26
183 15 18 41
184 18 19 0
185 12 15 3
186 15 16 3
187 16 17 42
188 19 22 32
189 9 12 16
190 14 15 16
191 15 16 43
192 17 20 40
193 23 24 14
194 4 7 29
195 8 9 7
196 9 10 33
197 10 13 33
198 24 25 22
199 25 28 8
200 22 25 12
201 27 28 17
202 28 29 8
203 9 12 13
204 12 13 6
205 13 14 28
206 18 21 17
207 10 13 10
208 14 15 6
209 15 16 19
210 19 22 8
211 22 23 2
212 8 11 34
213 11 12 3
214 12 13 44
215 14 17 44
216 23 24 3
217 24 25 3
218 25 28 9
219 22 25 6
220 27 28 16
221 28 29 9
222 7 10 7
223 13 14 7
224 17 18 26
225 19 22 22
226 9 12 8
227 16 17 40
228 18 19 29
229 19 22 29
230 22 23 13
231 16 19 2
232 19 20 3
233 20 21 3
234 21 24 9
235 24 25 10
236 25 28 10
237 22 25 13
238 25 26 43
239 28 29 10
240 4 7 11
241 7 8 19
242 9 10 19
243 10 13 0
244 4 7 9
245 8 9 8
246 9 10 0
247 10 13 3
248 13 14 0
249 4 7 10
250 9 10 2
251 10 11 28
252 11 14 6
253 14 15 1
254 15 16 46
255 25 28 11
256 22 25 14
257 27 28 23
258 28 29 11
259 10 13 4
260 14 15 20
261 15 16 31
262 19 22 26
263 1 4 14
264 10 11 25
265 13 14 30
266 17 20 38
267 22 23 0
268 2 5 12
269 6 7 35
270 7 8 49
271 16 19 33
272 23 24 12
273 24 25 23
274 25 28 12
275 22 25 15
276 26 27 29
277 28 29 12
278 11 14 18
279 15 16 1
280 16 17 48
281 18 21 4
282 7 10 24
283 12 13 24
284 17 18 16
285 19 22 13
286 22 23 6
287 7 10 37
288 17 18 7
289 19 20 24
290 20 23 15
291 23 24 37
292 25 28 13
293 22 25 5
294 26 27 32
295 28 29 13
296 7 10 28
297 10 11 2
298 11 12 36
299 19 22 15
300 14 17 6
301 17 18 12
302 18 19 27
303 19 22 10
304 22 23 4
305 13 16 23
306 18 19 12
307 19 20 35
308 20 23 37
309 23 24 5
310 24 25 4
311 25 28 14
312 23 26 16
313 27 28 22
314 28 29 14
315 4 7 31
316 7 8 20
317 8 9 48
318 12 15 40
319 5 8 17
320 8 9 17
321 9 10 40
322 12 15 16
323 15 16 2
324 1 4 24
325 9 10 30
326 10 11 35
327 14 17 8
328 18 19 20
329 25 28 15
330 22 25 17
331 26 27 40
332 28 29 15
