Latency Constraint 19
0 3 4 7
1 5 8 20
2 8 9 5
3 11 12 1
4 1 2 11
5 3 6 20
6 7 8 11
7 8 9 24
8 1 2 10
9 9 12 3
10 12 13 3
11 13 14 2
12 3 4 24
13 4 7 4
14 13 14 0
15 14 15 0
16 1 4 3
17 4 5 0
18 10 11 12
19 12 15 19
20 1 4 8
21 7 8 8
22 9 10 25
23 11 14 7
24 16 17 11
25 1 4 2
26 5 6 2
27 12 13 5
28 14 17 1
29 17 18 4
30 10 13 8
31 13 14 4
32 14 15 4
33 15 18 0
34 18 19 0
35 10 11 7
36 11 14 8
37 14 15 8
38 19 20 0
39 7 10 17
40 10 11 17
41 11 12 23
42 12 15 22
43 1 4 1
44 6 7 1
45 7 8 15
46 10 13 6
47 16 17 10
48 4 7 15
49 7 8 5
50 8 9 18
51 14 17 2
52 17 18 5
53 7 10 7
54 10 11 13
55 14 15 8
56 15 18 1
57 18 19 1
58 2 3 4
59 4 7 9
60 14 15 13
61 19 20 1
62 3 6 5
63 6 7 5
64 7 8 19
65 12 15 19
66 1 4 13
67 4 5 3
68 5 6 3
69 9 12 17
70 15 16 14
71 6 9 16
72 11 12 14
73 13 14 3
74 14 17 5
75 17 18 6
76 8 11 0
77 11 12 5
78 12 13 15
79 15 18 2
80 18 19 2
81 2 3 6
82 10 13 10
83 13 14 10
84 19 20 2
85 6 9 20
86 9 10 20
87 10 11 21
88 12 15 10
89 2 5 9
90 5 6 13
91 6 7 22
92 9 12 22
93 15 16 9
94 5 8 18
95 8 9 13
96 9 10 20
97 14 17 3
98 17 18 7
99 1 4 14
100 9 10 14
101 12 13 16
102 15 18 3
103 18 19 3
104 2 3 12
105 7 10 11
106 12 13 11
107 19 20 3
108 19 20 7
